fixture_id,date,league_season,league,home_team,away_team,home_score,away_score,home_result,home_avg_goals_last_3,home_avg_goals_against_last_3,home_avg_goals_last_5,home_avg_goals_against_last_5,home_avg_goals_last_10,home_avg_goals_against_last_10,home_avg_goals_season,home_avg_goals_against_season,home_avg_scoring_last_3,home_avg_scoring_last_5,home_avg_scoring_last_10,home_avg_scoring_season,home_points_last_3,home_points_last_5,home_points_last_10,home_streak,away_avg_goals_last_3,away_avg_goals_against_last_3,away_avg_goals_last_5,away_avg_goals_against_last_5,away_avg_goals_last_10,away_avg_goals_against_last_10,away_avg_goals_season,away_avg_goals_against_season,away_avg_scoring_last_3,away_avg_scoring_last_5,away_avg_scoring_last_10,away_avg_scoring_season,away_points_last_3,away_points_last_5,away_points_last_10,away_streak,home_elo,away_elo,scoring_diff_last_3,scoring_diff_last_5,scoring_diff_last_10,scoring_diff_season,points_diff_last_3,points_diff_last_5,points_diff_last_10,streak_diff,elo_diff,h2h_matches,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_home_goals,h2h_away_goals,h2h_goal_diff
720769,2021-09-11,2021,La Liga,Athletic Club,Mallorca,2,0,2,0.667,0.333,0.667,0.333,0.667,0.333,0.667,0.333,0.334,0.334,0.334,0.334,5.0,5.0,5.0,1,1.0,0.333,1.0,0.333,1.0,0.333,1.0,0.333,0.667,0.667,0.667,0.667,7.0,7.0,7.0,2,1510.0,1519.43,-0.33,-0.33,-0.33,-0.33,-2.0,-2.0,-2.0,-1,-9.43,0,0,0,0,0,0,0
720775,2021-09-12,2021,La Liga,Osasuna,Valencia,1,4,0,1.0,0.667,1.0,0.667,1.0,0.667,1.0,0.667,0.333,0.333,0.333,0.333,5.0,5.0,5.0,1,1.667,0.333,1.667,0.333,1.667,0.333,1.667,0.333,1.334,1.334,1.334,1.334,7.0,7.0,7.0,1,1509.72,1518.87,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,0,-9.15,0,0,0,0,0,0,0
720773,2021-09-12,2021,La Liga,Espanyol,Atletico Madrid,1,2,0,0.0,0.333,0.0,0.333,0.0,0.333,0.0,0.333,-0.333,-0.333,-0.333,-0.333,2.0,2.0,2.0,-1,1.667,1.0,1.667,1.0,1.667,1.0,1.667,1.0,0.667,0.667,0.667,0.667,7.0,7.0,7.0,0,1490.28,1519.14,-1.0,-1.0,-1.0,-1.0,-5.0,-5.0,-5.0,-1,-28.86,0,0,0,0,0,0,0
720776,2021-09-12,2021,La Liga,Real Madrid,Celta Vigo,5,2,2,2.667,1.333,2.667,1.333,2.667,1.333,2.667,1.333,1.334,1.334,1.334,1.334,7.0,7.0,7.0,1,0.333,1.0,0.333,1.0,0.333,1.0,0.333,1.0,-0.667,-0.667,-0.667,-0.667,1.0,1.0,1.0,-1,1519.43,1480.58,2.0,2.0,2.0,2.0,6.0,6.0,6.0,2,38.85,0,0,0,0,0,0,0
720771,2021-09-12,2021,La Liga,Cadiz,Real Sociedad,0,2,0,1.333,1.667,1.333,1.667,1.333,1.667,1.333,1.667,-0.334,-0.334,-0.334,-0.334,2.0,2.0,2.0,-1,1.333,1.333,1.333,1.333,1.333,1.333,1.333,1.333,0.0,0.0,0.0,0.0,6.0,6.0,6.0,2,1489.99,1510.01,-0.33,-0.33,-0.33,-0.33,-4.0,-4.0,-4.0,-3,-20.02,0,0,0,0,0,0,0
720770,2021-09-13,2021,La Liga,Getafe,Elche,0,1,0,0.333,1.333,0.333,1.333,0.333,1.333,0.333,1.333,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-3,0.333,0.667,0.333,0.667,0.333,0.667,0.333,0.667,-0.334,-0.334,-0.334,-0.334,2.0,2.0,2.0,0,1471.42,1491.13,-0.67,-0.67,-0.67,-0.67,-2.0,-2.0,-2.0,-3,-19.71,0,0,0,0,0,0,0
720772,2021-09-13,2021,La Liga,Granada CF,Real Betis,1,2,0,0.333,1.667,0.333,1.667,0.333,1.667,0.333,1.667,-1.334,-1.334,-1.334,-1.334,2.0,2.0,2.0,-1,0.667,1.0,0.667,1.0,0.667,1.0,0.667,1.0,-0.333,-0.333,-0.333,-0.333,2.0,2.0,2.0,-1,1489.71,1490.28,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,-0.57,0,0,0,0,0,0,0
720783,2021-09-17,2021,La Liga,Celta Vigo,Cadiz,1,2,0,0.667,2.0,0.75,2.0,0.75,2.0,0.75,2.0,-1.333,-1.25,-1.25,-1.25,1.0,1.0,1.0,-2,1.0,2.0,1.0,1.75,1.0,1.75,1.0,1.75,-1.0,-0.75,-0.75,-0.75,1.0,2.0,2.0,-2,1471.69,1480.57,-0.33,-0.5,-0.5,-0.5,0.0,-1.0,-1.0,0,-8.88,0,0,0,0,0,0,0
720787,2021-09-18,2021,La Liga,Rayo Vallecano,Getafe,3,0,2,1.667,0.667,1.25,1.25,1.25,1.25,1.25,1.25,1.0,0.0,0.0,0.0,4.0,4.0,4.0,0,0.333,1.333,0.25,1.25,0.25,1.25,0.25,1.25,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-4,1490.57,1461.99,2.0,1.0,1.0,1.0,4.0,4.0,4.0,4,28.58,0,0,0,0,0,0,0
720780,2021-09-18,2021,La Liga,Atletico Madrid,Athletic Club,0,0,1,1.667,1.0,1.75,1.0,1.75,1.0,1.75,1.0,0.667,0.75,0.75,0.75,7.0,10.0,10.0,1,1.333,0.333,1.0,0.25,1.0,0.25,1.0,0.25,1.0,0.75,0.75,0.75,7.0,8.0,8.0,2,1528.31,1520.27,-0.33,0.0,0.0,0.0,0.0,2.0,2.0,-1,8.04,0,0,0,0,0,0,0
