fixture_id,date,home_team,home_team_id,away_team,away_team_id,home_score,away_score,league_season,home_result,home_avg_goals_last_3,home_avg_goals_against_last_3,home_avg_goals_last_5,home_avg_goals_against_last_5,home_avg_goals_last_10,home_avg_goals_against_last_10,home_avg_goals_season,home_avg_goals_against_season,home_avg_scoring_last_3,home_avg_scoring_last_5,home_avg_scoring_last_10,home_avg_scoring_season,home_points_last_3,home_points_last_5,home_points_last_10,away_avg_goals_last_3,away_avg_goals_against_last_3,away_avg_goals_last_5,away_avg_goals_against_last_5,away_avg_goals_last_10,away_avg_goals_against_last_10,away_avg_goals_season,away_avg_goals_against_season,away_avg_scoring_last_3,away_avg_scoring_last_5,away_avg_scoring_last_10,away_avg_scoring_season,away_points_last_3,away_points_last_5,away_points_last_10,scoring_diff_last_3,scoring_diff_last_5,scoring_diff_last_10,scoring_diff_season,points_diff_last_3,points_diff_last_5,points_diff_last_10
720768,2021-08-28,Elche,797,Sevilla,536,1,1,2021,1,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,-0.5,-0.5,-0.5,-0.5,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,-2.5,-2.5,-2.5,-2.5,-5.0,-5.0,-5.0
720761,2021-08-28,Real Betis,543,Real Madrid,541,0,1,2021,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.5,2.0,3.5,2.0,3.5,2.0,3.5,2.0,1.5,1.5,1.5,1.5,4.0,4.0,4.0,-1.5,-1.5,-1.5,-1.5,-2.0,-2.0,-2.0
720760,2021-08-29,Barcelona,529,Getafe,546,2,1,2021,2,2.5,1.5,2.5,1.5,2.5,1.5,2.5,1.5,1.0,1.0,1.0,1.0,4.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0
720764,2021-08-29,Cadiz,724,Osasuna,727,2,3,2021,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720767,2021-08-29,Rayo Vallecano,728,Granada CF,715,4,0,2021,2,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
720759,2021-08-29,Atletico Madrid,530,Villarreal,533,2,2,2021,1,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.0,1.0,1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0
720774,2021-09-11,Levante,539,Rayo Vallecano,728,1,1,2021,1,1.333,1.667,1.333,1.667,1.333,1.667,1.333,1.667,-0.334,-0.334,-0.334,-0.334,2.0,2.0,2.0,1.333,1.333,1.333,1.333,1.333,1.333,1.333,1.333,0.0,0.0,0.0,0.0,3.0,3.0,3.0,-0.334,-0.334,-0.334,-0.334,-1.0,-1.0,-1.0
720769,2021-09-11,Athletic Club,531,Mallorca,798,2,0,2021,2,0.667,0.333,0.667,0.333,0.667,0.333,0.667,0.333,0.334,0.334,0.334,0.334,5.0,5.0,5.0,1.0,0.333,1.0,0.333,1.0,0.333,1.0,0.333,0.667,0.667,0.667,0.667,7.0,7.0,7.0,-0.333,-0.333,-0.333,-0.333,-2.0,-2.0,-2.0
720776,2021-09-12,Real Madrid,541,Celta Vigo,538,5,2,2021,2,2.667,1.333,2.667,1.333,2.667,1.333,2.667,1.333,1.334,1.334,1.334,1.334,7.0,7.0,7.0,0.333,1.0,0.333,1.0,0.333,1.0,0.333,1.0,-0.667,-0.667,-0.667,-0.667,1.0,1.0,1.0,2.0010000000000003,2.0010000000000003,2.0010000000000003,2.0010000000000003,6.0,6.0,6.0
720771,2021-09-12,Cadiz,724,Real Sociedad,548,0,2,2021,0,1.333,1.667,1.333,1.667,1.333,1.667,1.333,1.667,-0.334,-0.334,-0.334,-0.334,2.0,2.0,2.0,1.333,1.333,1.333,1.333,1.333,1.333,1.333,1.333,0.0,0.0,0.0,0.0,6.0,6.0,6.0,-0.334,-0.334,-0.334,-0.334,-4.0,-4.0,-4.0
720773,2021-09-12,Espanyol,540,Atletico Madrid,530,1,2,2021,0,0.0,0.333,0.0,0.333,0.0,0.333,0.0,0.333,-0.333,-0.333,-0.333,-0.333,2.0,2.0,2.0,1.667,1.0,1.667,1.0,1.667,1.0,1.667,1.0,0.667,0.667,0.667,0.667,7.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0,-5.0,-5.0,-5.0
720775,2021-09-12,Osasuna,727,Valencia,532,1,4,2021,0,1.0,0.667,1.0,0.667,1.0,0.667,1.0,0.667,0.333,0.333,0.333,0.333,5.0,5.0,5.0,1.667,0.333,1.667,0.333,1.667,0.333,1.667,0.333,1.334,1.334,1.334,1.334,7.0,7.0,7.0,-1.0010000000000001,-1.0010000000000001,-1.0010000000000001,-1.0010000000000001,-2.0,-2.0,-2.0
720770,2021-09-13,Getafe,546,Elche,797,0,1,2021,0,0.333,1.333,0.333,1.333,0.333,1.333,0.333,1.333,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.333,0.667,0.333,0.667,0.333,0.667,0.333,0.667,-0.334,-0.334,-0.334,-0.334,2.0,2.0,2.0,-0.6659999999999999,-0.6659999999999999,-0.6659999999999999,-0.6659999999999999,-2.0,-2.0,-2.0
720772,2021-09-13,Granada CF,715,Real Betis,543,1,2,2021,0,0.333,1.667,0.333,1.667,0.333,1.667,0.333,1.667,-1.334,-1.334,-1.334,-1.334,2.0,2.0,2.0,0.667,1.0,0.667,1.0,0.667,1.0,0.667,1.0,-0.333,-0.333,-0.333,-0.333,2.0,2.0,2.0,-1.0010000000000001,-1.0010000000000001,-1.0010000000000001,-1.0010000000000001,0.0,0.0,0.0
720783,2021-09-17,Celta Vigo,538,Cadiz,724,1,2,2021,0,0.667,2.0,0.75,2.0,0.75,2.0,0.75,2.0,-1.333,-1.25,-1.25,-1.25,1.0,1.0,1.0,1.0,2.0,1.0,1.75,1.0,1.75,1.0,1.75,-1.0,-0.75,-0.75,-0.75,1.0,2.0,2.0,-0.33299999999999996,-0.5,-0.5,-0.5,0.0,-1.0,-1.0
720787,2021-09-18,Rayo Vallecano,728,Getafe,546,3,0,2021,2,1.667,0.667,1.25,1.25,1.25,1.25,1.25,1.25,1.0,0.0,0.0,0.0,4.0,4.0,4.0,0.333,1.333,0.25,1.25,0.25,1.25,0.25,1.25,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0
720780,2021-09-18,Atletico Madrid,530,Athletic Club,531,0,0,2021,1,1.667,1.0,1.75,1.0,1.75,1.0,1.75,1.0,0.667,0.75,0.75,0.75,7.0,10.0,10.0,1.333,0.333,1.0,0.25,1.0,0.25,1.0,0.25,1.0,0.75,0.75,0.75,7.0,8.0,8.0,-0.33299999999999996,0.0,0.0,0.0,0.0,2.0,2.0
720788,2021-09-18,Elche,797,Levante,539,1,1,2021,1,0.667,0.667,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,4.0,5.0,5.0,1.333,1.667,1.25,1.5,1.25,1.5,1.25,1.5,-0.334,-0.25,-0.25,-0.25,2.0,3.0,3.0,0.334,0.25,0.25,0.25,2.0,2.0,2.0
720779,2021-09-18,Alaves,542,Osasuna,727,0,2,2021,0,0.333,2.667,0.333,2.667,0.333,2.667,0.333,2.667,-2.334,-2.334,-2.334,-2.334,0.0,0.0,0.0,1.333,2.0,1.0,1.5,1.0,1.5,1.0,1.5,-0.667,-0.5,-0.5,-0.5,4.0,5.0,5.0,-1.667,-1.834,-1.834,-1.834,-4.0,-5.0,-5.0
720784,2021-09-19,Mallorca,798,Villarreal,533,0,0,2021,1,0.667,0.667,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,6.0,7.0,7.0,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0
